,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
859,2022-05-10 09:10:00,2022-05-10,278033,SBERBANK ONL@IN PLATEZH,Прочие операции,-500.0,2022-05
860,2022-05-10 09:09:00,2022-05-10,228076,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-05
861,2022-05-10 08:07:00,2022-05-10,222272,MAGNIT MM KABATCHIK,Супермаркеты,-357.15,2022-05
862,2022-05-09 15:13:00,2022-05-09,285080,MAGAZIN FASOL DACHI,Супермаркеты,-120.0,2022-05
863,2022-05-09 11:52:00,2022-05-09,261563,PEREKRESTOK VOYAZH,Супермаркеты,-438.76,2022-05
864,2022-05-09 00:00:00,2022-05-09,240654,Погашение процентов за покупки вне льготного периода,Прочие операции,-6333.1,2022-05
865,2022-05-09 00:00:00,2022-05-11,269363,Aliexpress,Прочие расходы,-597.98,2022-05
866,2022-05-09 00:00:00,2022-05-11,254742,Aliexpress,Прочие расходы,-1001.57,2022-05
869,2022-05-08 15:20:00,2022-05-09,221057,MAGNIT MM KABATCHIK,Супермаркеты,-1959.04,2022-05
870,2022-05-08 09:25:00,2022-05-09,260868,YANDEX.TAXI,Отдых и развлечения,-29.0,2022-05
871,2022-05-08 08:49:00,2022-05-09,236046,YANDEX.TAXI,Отдых и развлечения,-253.0,2022-05
872,2022-05-08 08:11:00,2022-05-09,266681,MAGNIT MM KABATCHIK,Супермаркеты,-423.97,2022-05
873,2022-05-08 00:00:00,2022-05-09,241019,donatepay.ru,Неизвестная категория(-),-1000.0,2022-05
874,2022-05-08 00:00:00,2022-05-09,288323,IP STELYUK NATALIA V,Автомобиль,-2000.0,2022-05
875,2022-05-07 00:00:00,2022-05-09,224048,IP STELYUK NATALIA V,Автомобиль,-3000.0,2022-05
877,2022-05-06 00:00:00,2022-05-11,222580,GBUZ TO PERINATAL TsENTR,Здоровье и красота,-700.0,2022-05
878,2022-05-05 19:26:00,2022-05-05,280723,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-05
879,2022-05-05 19:25:00,2022-05-05,240082,SBERBANK ONL@IN PLATEZH,Прочие операции,-6565.0,2022-05
881,2022-05-05 15:50:00,2022-05-05,286577,YANDEX.ZAPRAVKI,Автомобиль,-1040.8,2022-05
882,2022-05-05 12:55:00,2022-05-05,265610,YANDEX.ZAPRAVKI,Автомобиль,-734.0,2022-05
883,2022-05-04 17:06:00,2022-05-04,299622,SBERBANK ONL@IN PLATEZH,Прочие операции,-500.0,2022-05
884,2022-05-04 00:00:00,2022-05-05,233807,OZON4.,Прочие расходы,-701.0,2022-05
885,2022-05-04 00:00:00,2022-05-05,273773,KAPUCHINYCH,Рестораны и кафе,-200.0,2022-05
887,2022-04-27 15:24:00,2022-04-27,290740,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-04
888,2022-04-26 06:42:00,2022-04-26,268608,YANDEX.TAXI,Отдых и развлечения,-42.4,2022-04
889,2022-04-25 06:42:00,2022-04-25,230253,YANDEX.TAXI,Отдых и развлечения,-472.0,2022-04
890,2022-04-25 00:00:00,2022-04-26,227089,OOO DIVADA-M,Здоровье и красота,-2564.0,2022-04
891,2022-04-24 12:50:00,2022-04-25,206553,SBERBANK ONL@IN PLATEZH,Прочие операции,-100.0,2022-04
892,2022-04-24 00:00:00,2022-04-25,250137,dodopizza,Рестораны и кафе,-1703.0,2022-04
893,2022-04-24 00:00:00,2022-04-26,259694,CloudTips,Рестораны и кафе,-53.8,2022-04
894,2022-04-23 16:25:00,2022-04-23,209371,YANDEX.TAXI,Отдых и развлечения,-20.7,2022-04
895,2022-04-23 16:04:00,2022-04-23,215290,YANDEX.TAXI,Отдых и развлечения,-230.0,2022-04
896,2022-04-23 10:46:00,2022-04-23,292815,PYATEROCHKA 22287,Супермаркеты,-685.11,2022-04
897,2022-04-23 07:23:00,2022-04-23,215261,SAMOKAT,Супермаркеты,-373.0,2022-04
898,2022-04-23 00:00:00,2022-04-25,245078,IP XUZINA M V,Рестораны и кафе,-875.0,2022-04
899,2022-04-23 00:00:00,2022-04-25,205186,KLINIKA LEChENIYa BOLI,Здоровье и красота,-1800.0,2022-04
900,2022-04-22 18:06:00,2022-04-22,254716,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-04
902,2022-04-21 00:00:00,2022-04-22,285015,OZON3.,Неизвестная категория(-),-1023.0,2022-04
903,2022-04-21 00:00:00,2022-04-22,236335,OZON3.,Неизвестная категория(-),-2850.0,2022-04
904,2022-04-20 09:57:00,2022-04-20,208065,LUKOIL,Автомобиль,-1800.06,2022-04
905,2022-04-20 00:00:00,2022-04-21,289251,OZON4.,Прочие расходы,-665.0,2022-04
906,2022-04-19 18:21:00,2022-04-20,210255,YANDEX.TAXI,Отдых и развлечения,-22.9,2022-04
907,2022-04-19 18:17:00,2022-04-20,284540,YANDEX.TAXI,Отдых и развлечения,-255.0,2022-04
908,2022-04-19 10:33:00,2022-04-19,285855,2141 DETSKIY MIR,Отдых и развлечения,-123.0,2022-04
909,2022-04-19 00:00:00,2022-04-20,280647,IP GREBENKOVA,Супермаркеты,-550.0,2022-04
911,2022-04-18 11:14:00,2022-04-18,218678,SAMOKAT,Супермаркеты,-738.0,2022-04
912,2022-04-18 11:12:00,2022-04-19,251915,YM OZON,Прочие расходы,-3486.0,2022-04
913,2022-04-18 00:00:00,2022-04-19,220023,Klinika na Gubernskoy,Здоровье и красота,-800.0,2022-04
914,2022-04-18 00:00:00,2022-04-19,285443,Filatovskaya klinika,Здоровье и красота,-1500.0,2022-04
915,2022-04-18 00:00:00,2022-04-19,296786,OOO DIVADA-M,Здоровье и красота,-1842.0,2022-04
916,2022-04-18 00:00:00,2022-04-19,246108,CHACHACHAY.ME,Супермаркеты,-30.0,2022-04
917,2022-04-17 08:28:00,2022-04-18,225075,YANDEX.TAXI,Отдых и развлечения,-12.1,2022-04
918,2022-04-16 08:28:00,2022-04-16,202031,YANDEX.TAXI,Отдых и развлечения,-135.0,2022-04
919,2022-04-15 09:04:00,2022-04-15,265421,YANDEX.TAXI,Отдых и развлечения,-12.3,2022-04
920,2022-04-15 08:21:00,2022-04-15,290076,YANDEX.TAXI,Отдых и развлечения,-137.0,2022-04
922,2022-04-14 15:12:00,2022-04-14,235986,VKUSNYE KHOT DOGI,Рестораны и кафе,-50.0,2022-04
923,2022-04-14 15:08:00,2022-04-14,221804,VKUSNYE KHOT DOGI,Рестораны и кафе,-417.0,2022-04
924,2022-04-14 14:51:00,2022-04-14,251036,KOFE,Рестораны и кафе,-100.0,2022-04
925,2022-04-14 14:50:00,2022-04-14,202906,KOFE,Рестораны и кафе,-100.0,2022-04
926,2022-04-13 18:17:00,2022-04-14,206464,YANDEX.TAXI,Отдых и развлечения,-16.7,2022-04
927,2022-04-13 18:14:00,2022-04-14,264216,YANDEX.TAXI,Отдых и развлечения,-186.0,2022-04
928,2022-04-13 09:48:00,2022-04-13,276772,MAGNIT MM KABATCHIK,Супермаркеты,-544.46,2022-04
929,2022-04-13 09:41:00,2022-04-13,251459,APTECHNOE UCHREZHD-IE,Здоровье и красота,-2429.0,2022-04
931,2022-04-13 00:00:00,2022-04-14,212507,Filatovskaya klinika,Здоровье и красота,-600.0,2022-04
932,2022-04-13 00:00:00,2022-04-14,240774,Filatovskaya klinika,Здоровье и красота,-1500.0,2022-04
933,2022-04-11 19:09:00,2022-04-11,257327,SVETLOE I TEMNOE,Супермаркеты,-352.93,2022-04
934,2022-04-11 17:37:00,2022-04-11,218717,GIPERMARKET RICH FEMILI,Отдых и развлечения,-1110.0,2022-04
935,2022-04-11 09:53:00,2022-04-11,240019,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-04
936,2022-04-11 00:00:00,2022-04-11,252905,Погашение процентов за покупки вне льготного периода,Прочие операции,-5702.99,2022-04
937,2022-04-11 00:00:00,2022-04-12,207525,KAPUCHINYCH,Рестораны и кафе,-160.0,2022-04
938,2022-04-11 00:00:00,2022-04-12,267569,KROSHKA KARTOSHKA,Рестораны и кафе,-1335.0,2022-04
940,2022-04-09 09:48:00,2022-04-09,292592,YANDEX.TAXI,Отдых и развлечения,-15.0,2022-04
941,2022-04-09 08:48:00,2022-04-09,236948,YANDEX.TAXI,Отдых и развлечения,-167.0,2022-04
942,2022-04-08 09:33:00,2022-04-08,245537,PYATEROCHKA 21288,Супермаркеты,-629.25,2022-04
943,2022-04-07 15:26:00,2022-04-07,224161,KOFE,Рестораны и кафе,-100.0,2022-04
944,2022-04-07 15:23:00,2022-04-07,248392,MAGNIT MM KABATCHIK,Супермаркеты,-226.96,2022-04
945,2022-04-06 18:43:00,2022-04-06,248135,LUKOIL,Автомобиль,-1500.31,2022-04
946,2022-04-06 18:23:00,2022-04-07,215226,YANDEX.TAXI,Отдых и развлечения,-18.5,2022-04
947,2022-04-06 18:22:00,2022-04-07,255834,YANDEX.TAXI,Отдых и развлечения,-206.0,2022-04
949,2022-04-06 07:50:00,2022-04-06,252395,YANDEX.TAXI,Отдых и развлечения,-14.2,2022-04
950,2022-04-06 07:38:00,2022-04-06,235780,YANDEX.TAXI,Отдых и развлечения,-142.0,2022-04
951,2022-04-06 00:00:00,2022-04-07,249491,IP Frolov Y.V.,Образование,-300.0,2022-04
952,2022-04-05 18:38:00,2022-04-05,234201,MAGNIT MM KABATCHIK,Супермаркеты,-737.01,2022-04
953,2022-04-05 08:52:00,2022-04-05,223598,YANDEX.TAXI,Отдых и развлечения,-8.7,2022-04
954,2022-04-05 08:35:00,2022-04-05,232005,YANDEX.TAXI,Отдых и развлечения,-87.0,2022-04
955,2022-04-05 08:15:00,2022-04-05,211332,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-04
956,2022-04-05 08:15:00,2022-04-05,299645,SBERBANK ONL@IN PLATEZH,Прочие операции,-14140.0,2022-04
959,2022-04-04 15:52:00,2022-04-04,272948,MAGNIT MM KABATCHIK,Супермаркеты,-1250.35,2022-04
960,2022-04-04 00:00:00,2022-04-05,265891,dodopizza,Рестораны и кафе,-1289.0,2022-04
961,2022-04-03 18:24:00,2022-04-04,204922,SAMOKAT,Супермаркеты,-515.0,2022-04
962,2022-04-03 17:31:00,2022-04-04,253175,MAGNIT MM KABATCHIK,Супермаркеты,-1363.89,2022-04
963,2022-04-03 15:24:00,2022-04-04,297414,YANDEX.TAXI,Отдых и развлечения,-129.0,2022-04
964,2022-04-02 07:43:00,2022-04-02,249893,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-04
965,2022-04-01 18:51:00,2022-04-01,217122,MAGNIT MM KABATCHIK,Супермаркеты,-1572.11,2022-04
966,2022-04-01 07:36:00,2022-04-01,295990,MAGNIT MM KABATCHIK,Супермаркеты,-419.97,2022-04
967,2022-03-31 14:55:00,2022-03-31,252205,MAGNIT MM KABATCHIK,Супермаркеты,-205.98,2022-03
968,2022-03-31 14:54:00,2022-03-31,298231,MAGNIT MM KABATCHIK,Супермаркеты,-1031.99,2022-03
969,2022-03-31 14:45:00,2022-03-31,200559,SVETLOE I TEMNOE,Супермаркеты,-1411.67,2022-03
970,2022-03-31 14:25:00,2022-03-31,201893,AO ATD PANACEYA,Здоровье и красота,-243.0,2022-03
971,2022-03-31 00:00:00,2022-04-01,253269,Klinika na Gubernskoy,Здоровье и красота,-1200.0,2022-04
972,2022-03-30 14:16:00,2022-03-30,250553,MONETKA,Супермаркеты,-973.19,2022-03
974,2022-03-30 00:00:00,2022-03-31,263397,Filatovskaya klinika,Здоровье и красота,-1500.0,2022-03
975,2022-03-29 08:05:00,2022-03-29,280233,MAGNIT MM KABATCHIK,Супермаркеты,-279.98,2022-03
978,2022-03-28 15:56:00,2022-03-28,265274,MAGNIT MM KABATCHIK,Супермаркеты,-845.89,2022-03
979,2022-03-28 15:48:00,2022-03-28,225871,APTECHNOE UCHREZHD-IE,Здоровье и красота,-684.0,2022-03
980,2022-03-28 15:38:00,2022-03-28,260520,SBERBANK ONL@IN PLATEZH,Прочие операции,-775.97,2022-03
982,2022-03-28 11:41:00,2022-03-28,273315,IP OSIPOVA T.S.,Супермаркеты,-590.0,2022-03
983,2022-03-28 11:31:00,2022-03-28,260803,PYATEROCHKA 3356,Супермаркеты,-1140.74,2022-03
984,2022-03-28 00:00:00,2022-03-29,278992,OOO MEDAS-TYUMEN,Здоровье и красота,-1110.0,2022-03
985,2022-03-28 00:00:00,2022-03-29,268369,OOO STS PREOBRAZHENSK,Все для дома,-270.0,2022-03
986,2022-03-27 17:03:00,2022-03-28,224051,MAGNIT MM KABATCHIK,Супермаркеты,-912.3,2022-03
987,2022-03-27 15:27:00,2022-03-28,206433,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-03
988,2022-03-26 17:37:00,2022-03-26,272076,MAGNIT MM KABATCHIK,Супермаркеты,-1264.91,2022-03
989,2022-03-25 19:24:00,2022-03-25,223600,IP SAMOJLOV IP,Рестораны и кафе,-780.0,2022-03
990,2022-03-25 18:05:00,2022-03-25,217990,MAGNIT MM KABATCHIK,Супермаркеты,-712.73,2022-03
991,2022-03-25 08:03:00,2022-03-25,268563,MONETKA,Супермаркеты,-359.97,2022-03
993,2022-03-24 21:40:00,2022-03-25,295149,YM OZON,Неизвестная категория(-),-2421.0,2022-03
994,2022-03-24 15:42:00,2022-03-24,273201,APTECHNOE UCHREZHD-IE,Здоровье и красота,-877.0,2022-03
995,2022-03-24 15:39:00,2022-03-24,241677,KOLBASY VELES,Супермаркеты,-316.25,2022-03
996,2022-03-24 15:32:00,2022-03-24,230436,MAGNIT MM KABATCHIK,Супермаркеты,-269.79,2022-03
997,2022-03-24 15:14:00,2022-03-24,256080,MONETKA,Супермаркеты,-209.99,2022-03
998,2022-03-23 19:59:00,2022-03-24,234099,IVI.RU 7,Отдых и развлечения,-199.0,2022-03
999,2022-03-23 17:09:00,2022-03-23,237263,PEREKRESTOK UEZDNAYA,Супермаркеты,-1499.5,2022-03
1000,2022-03-23 09:31:00,2022-03-23,232218,SBERBANK ONL@IN PLATEZH,Прочие операции,-2985.31,2022-03
1002,2022-03-23 00:00:00,2022-03-24,210428,LK.ITPC.RU,"Комунальные платежи, связь, интернет.",-8252.74,2022-03
1003,2022-03-23 00:00:00,2022-03-24,232819,TEK SURGUTSKOE MRO,"Комунальные платежи, связь, интернет.",-1452.6,2022-03
1004,2022-03-22 19:01:00,2022-03-22,202093,MAGNIT MM KABATCHIK,Супермаркеты,-1765.9,2022-03
1005,2022-03-22 18:16:00,2022-03-22,277307,SVETLOE I TEMNOE,Супермаркеты,-486.95,2022-03
1006,2022-03-22 08:03:00,2022-03-22,259372,MAGNIT MM RIVANOL,Супермаркеты,-279.98,2022-03
1007,2022-03-22 00:00:00,2022-03-23,236110,IP STELYUK NATALIA V,Автомобиль,-200.0,2022-03
1008,2022-03-21 12:51:00,2022-03-21,291172,MAGNIT MM OROBLANKO,Супермаркеты,-389.15,2022-03
1010,2022-03-20 16:31:00,2022-03-21,281720,APTECHNOE UCHREZHD-IE,Здоровье и красота,-505.0,2022-03
1011,2022-03-20 16:22:00,2022-03-21,203281,PEREKRESTOK UEZDNAYA,Супермаркеты,-2468.68,2022-03
1012,2022-03-20 08:13:00,2022-03-21,287684,SAMOKAT,Супермаркеты,-386.0,2022-03
1013,2022-03-19 17:46:00,2022-03-19,247054,BK BURGER RUS,Рестораны и кафе,-3023.85,2022-03
1014,2022-03-18 18:29:00,2022-03-18,252283,SVETLOE I TEMNOE,Супермаркеты,-1251.49,2022-03
1015,2022-03-18 18:21:00,2022-03-18,266989,PYATEROCHKA 21288,Супермаркеты,-182.97,2022-03
1016,2022-03-18 18:09:00,2022-03-19,281110,SAMOKAT,Супермаркеты,-481.0,2022-03
1017,2022-03-18 11:50:00,2022-03-18,238088,BK BURGER RUS,Рестораны и кафе,-783.96,2022-03
1018,2022-03-18 08:01:00,2022-03-18,242705,MAGNIT MM KABATCHIK,Супермаркеты,-419.97,2022-03
1020,2022-03-16 12:56:00,2022-03-16,217268,MONETKA,Супермаркеты,-501.2,2022-03
1021,2022-03-16 09:49:00,2022-03-16,204497,MAGNIT MM KABATCHIK,Супермаркеты,-149.99,2022-03
1022,2022-03-16 09:16:00,2022-03-16,279385,TK LENTA-91,Супермаркеты,-3079.69,2022-03
1025,2022-03-16 00:00:00,2022-03-17,223447,Yandex.Zapravki,Автомобиль,-1730.19,2022-03
1026,2022-03-15 00:00:00,2022-03-17,211355,Delivery Club,Рестораны и кафе,-935.0,2022-03
1027,2022-03-14 18:48:00,2022-03-15,291910,SAMOKAT,Супермаркеты,-648.0,2022-03
1028,2022-03-14 14:09:00,2022-03-14,240783,MAGNIT MM LOKATORSHCHIK,Супермаркеты,-132.44,2022-03
1029,2022-03-14 14:07:00,2022-03-14,209678,MAGNIT MM LOKATORSHCHIK,Супермаркеты,-1082.66,2022-03
1030,2022-03-14 13:59:00,2022-03-14,253897,GIPERMARKET RICH FEMILI,Отдых и развлечения,-1535.0,2022-03
1031,2022-03-14 13:30:00,2022-03-14,265874,LEROY MERLIN 31,Все для дома,-3822.4,2022-03
1032,2022-03-13 11:50:00,2022-03-14,203720,BK BURGER RUS,Рестораны и кафе,-1248.94,2022-03
1034,2022-03-12 00:00:00,2022-03-12,250400,Погашение процентов за покупки вне льготного периода,Прочие операции,-1670.06,2022-03
1035,2022-03-11 18:12:00,2022-03-12,229690,YANDEX.ZAPRAVKI,Автомобиль,-1799.94,2022-03
1036,2022-03-11 11:09:00,2022-03-11,232069,SAMOKAT,Супермаркеты,-396.0,2022-03
1037,2022-03-11 09:53:00,2022-03-11,298271,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-03
1038,2022-03-09 22:09:00,2022-03-10,276160,IVI.RU 7,Отдых и развлечения,-299.0,2022-03
1039,2022-03-09 19:02:00,2022-03-09,256953,SVETLOE I TEMNOE,Супермаркеты,-446.95,2022-03
1040,2022-03-09 10:27:00,2022-03-09,238624,SAMOKAT,Супермаркеты,-410.0,2022-03
1041,2022-03-09 10:03:00,2022-03-09,274672,SAMOKAT,Супермаркеты,-396.0,2022-03
1043,2022-03-09 00:00:00,2022-03-09,249900,Погашение процентов за покупки вне льготного периода,Прочие операции,-5000.0,2022-03
1045,2022-03-08 14:51:00,2022-03-08,257238,PEREKRESTOK UEZDNAYA,Супермаркеты,-2668.42,2022-03
1046,2022-03-08 08:32:00,2022-03-08,245903,MAGNIT MM KABATCHIK,Супермаркеты,-279.98,2022-03
1047,2022-03-07 17:19:00,2022-03-07,275846,SVETLOE I TEMNOE,Супермаркеты,-439.96,2022-03
1048,2022-03-07 17:10:00,2022-03-07,255643,PYATEROCHKA 21288,Супермаркеты,-504.62,2022-03
1049,2022-03-07 11:58:00,2022-03-07,227452,BRISTOL 3233,Супермаркеты,-89.9,2022-03
1050,2022-03-05 18:06:00,2022-03-07,243961,SAMOKAT,Супермаркеты,-911.0,2022-03
1051,2022-03-05 17:26:00,2022-03-05,226652,MAGNIT MM KABATCHIK,Супермаркеты,-327.93,2022-03
1052,2022-03-05 00:00:00,2022-03-07,275480,KFC,Рестораны и кафе,-974.0,2022-03
1053,2022-03-04 12:37:00,2022-03-05,264612,SAMOKAT,Супермаркеты,-517.0,2022-03
1054,2022-03-04 07:56:00,2022-03-04,271801,MAGNIT MM KABATCHIK,Супермаркеты,-419.97,2022-03
1057,2022-03-03 18:50:00,2022-03-03,282241,MAGNIT MM KABATCHIK,Супермаркеты,-1388.93,2022-03
1058,2022-03-03 11:49:00,2022-03-03,252650,APTECHNOE UCHREZHD-IE,Здоровье и красота,-978.0,2022-03
1059,2022-03-03 11:37:00,2022-03-03,215795,PYATEROCHKA 21288,Супермаркеты,-209.97,2022-03
1060,2022-03-03 11:36:00,2022-03-03,289356,FARSH UL.A.PROTOZANOVA,Супермаркеты,-1475.17,2022-03
1061,2022-03-03 00:00:00,2022-03-04,289443,OOO MEDAS-TYUMEN,Здоровье и красота,-1110.0,2022-03
1062,2022-03-02 18:31:00,2022-03-02,242586,MAGNIT MM KABATCHIK,Супермаркеты,-891.85,2022-03
1063,2022-03-02 11:43:00,2022-03-02,278031,BK BURGER RUS,Рестораны и кафе,-1348.96,2022-03
1064,2022-03-02 07:58:00,2022-03-02,220949,MAGNIT MM KABATCHIK,Супермаркеты,-139.99,2022-03
1065,2022-03-01 19:21:00,2022-03-01,215991,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-03
1066,2022-03-01 19:20:00,2022-03-01,266053,SBERBANK ONL@IN PLATEZH,Прочие операции,-14140.0,2022-03
1068,2022-03-01 18:27:00,2022-03-01,287080,MAGNIT MM KABATCHIK,Супермаркеты,-1047.76,2022-03
1069,2022-03-01 18:22:00,2022-03-01,204803,APTECHNOE UCHREZHD-IE,Здоровье и красота,-405.0,2022-03
1070,2022-03-01 00:00:00,2022-03-03,257054,Delivery Club,Рестораны и кафе,-869.0,2022-03
1071,2022-02-28 05:25:00,2022-03-01,248832,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-03
1072,2022-02-27 17:10:00,2022-02-28,206204,YANDEX.TAXI,Отдых и развлечения,-1.0,2022-02
1074,2022-02-27 16:54:00,2022-02-28,289644,YANDEX.TAXI,Отдых и развлечения,-148.0,2022-02
1075,2022-02-27 12:41:00,2022-02-28,219247,SAMOKAT,Супермаркеты,-571.0,2022-02
1076,2022-02-27 08:03:00,2022-02-28,206231,MAGNIT MM KABATCHIK,Супермаркеты,-179.98,2022-02
1077,2022-02-26 11:59:00,2022-02-26,209455,SAMOKAT,Супермаркеты,-465.0,2022-02
1078,2022-02-26 00:00:00,2022-02-28,200350,IP SEDININA L.A.,Автомобиль,-450.0,2022-02
1079,2022-02-25 22:03:00,2022-02-26,219372,IVI.RU 6,Отдых и развлечения,-299.0,2022-02
1080,2022-02-25 16:36:00,2022-02-25,247429,TK LENTA-91,Супермаркеты,-5376.33,2022-02
1082,2022-02-25 15:30:00,2022-02-25,261318,DETSKIY MIR,Отдых и развлечения,-775.0,2022-02
1083,2022-02-25 14:55:00,2022-02-26,284088,BK BURGER RUS,Рестораны и кафе,-299.98,2022-02
1084,2022-02-25 00:00:00,2022-02-26,262167,VOSTOCHNYJ BAZAR,Рестораны и кафе,-410.0,2022-02
1085,2022-02-25 00:00:00,2022-02-26,201187,KROSHKA KARTOSHKA,Рестораны и кафе,-736.0,2022-02
1086,2022-02-24 14:42:00,2022-02-25,208209,IVI.RU 6,Отдых и развлечения,-299.0,2022-02
1087,2022-02-24 08:47:00,2022-02-24,296107,SBERBANK ONL@IN PLATEZH,Прочие операции,-800.0,2022-02
1088,2022-02-23 09:25:00,2022-02-23,287897,MONETKA,Супермаркеты,-116.6,2022-02
1089,2022-02-21 00:00:00,2022-02-22,208449,GOOGLE *ivi ru,Неизвестная категория(-),-299.0,2022-02
1090,2022-02-19 00:00:00,2022-02-21,217121,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-147.0,2022-02
1091,2022-02-19 00:00:00,2022-02-21,231421,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-322.0,2022-02
1092,2022-02-18 13:43:00,2022-02-18,283587,TK LENTA-91,Супермаркеты,-3248.1,2022-02
1093,2022-02-18 00:00:00,2022-02-19,265146,Y.M*OZON,Неизвестная категория(-),-1115.0,2022-02
1094,2022-02-18 00:00:00,2022-02-21,244785,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-208.0,2022-02
1095,2022-02-18 00:00:00,2022-02-19,222950,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-239.0,2022-02
1096,2022-02-17 20:09:00,2022-02-18,257601,IVI.RU 7,Отдых и развлечения,-299.0,2022-02
1098,2022-02-14 13:36:00,2022-02-15,212776,IVI.RU 6,Отдых и развлечения,-299.0,2022-02
1099,2022-02-14 12:39:00,2022-02-14,267357,MAGNIT MM KABATCHIK,Супермаркеты,-594.86,2022-02
1100,2022-02-13 21:08:00,2022-02-15,245833,IVI.RU 6,Отдых и развлечения,-299.0,2022-02
1101,2022-02-13 19:27:00,2022-02-15,266871,LENTA,Супермаркеты,-1465.33,2022-02
1102,2022-02-13 00:00:00,2022-02-15,227771,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-147.0,2022-02
1103,2022-02-13 00:00:00,2022-02-14,297135,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-243.0,2022-02
1104,2022-02-13 00:00:00,2022-02-14,262147,GOOGLE*YOUTUBEPREMIUM,Неизвестная категория(-),-299.0,2022-02
1105,2022-02-13 00:00:00,2022-02-15,248317,GOOGLE*GOOGLE STORAGE,Неизвестная категория(-),-139.0,2022-02
1106,2022-02-12 17:33:00,2022-02-14,289049,IVI.RU 7,Отдых и развлечения,-999.0,2022-02
1107,2022-02-11 09:53:00,2022-02-11,200209,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-02
1108,2022-02-11 00:00:00,2022-02-14,276510,NETFLIX WEB,"Комунальные платежи, связь, интернет.",-599.0,2022-02
1110,2022-02-09 21:17:00,2022-02-10,201965,IVI.RU 6,Отдых и развлечения,-99.0,2022-02
1112,2022-02-09 00:00:00,2022-02-10,206561,Filatovskaya klinika,Здоровье и красота,-1000.0,2022-02
1113,2022-02-09 00:00:00,2022-02-09,281722,Погашение процентов за покупки вне льготного периода,Прочие операции,-4000.0,2022-02
1114,2022-02-09 00:00:00,2022-02-10,262249,Filatovskaya klinika,Здоровье и красота,-1500.0,2022-02
1115,2022-02-09 00:00:00,2022-02-09,232185,Погашение процентов за покупки вне льготного периода,Прочие операции,-1320.62,2022-02
1117,2022-02-08 00:00:00,2022-02-09,255311,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-126.0,2022-02
1118,2022-02-08 00:00:00,2022-02-10,297225,HTTPS://TAXI.YANDEX.RU,Отдых и развлечения,-127.0,2022-02
1119,2022-02-06 00:00:00,2022-02-07,288489,CHACHACHAY.ME,Супермаркеты,-30.0,2022-02
1121,2022-02-05 19:49:00,2022-02-05,258751,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-02
1122,2022-02-05 10:46:00,2022-02-05,274718,SAMOKAT,Супермаркеты,-597.0,2022-02
1123,2022-02-04 11:15:00,2022-02-04,267689,SAMOKAT,Супермаркеты,-569.0,2022-02
1124,2022-02-02 11:41:00,2022-02-02,254108,SAMOKAT,Супермаркеты,-649.0,2022-02
1125,2022-02-01 23:36:00,2022-02-02,276192,ROSTELECOM,"Комунальные платежи, связь, интернет.",-749.0,2022-02
1127,2022-01-30 18:13:00,2022-01-31,270931,OOO BIONTA 42,Здоровье и красота,-381.0,2022-01
1129,2022-01-29 08:19:00,2022-01-29,267668,BRISTOL 3233,Супермаркеты,-315.96,2022-01
1130,2022-01-29 00:00:00,2022-01-31,236073,SLUZHBA DOSTAVKI EDY 1,Рестораны и кафе,-2785.0,2022-01
1131,2022-01-29 00:00:00,2022-02-01,215461,TRIUMF,Отдых и развлечения,-700.0,2022-02
1132,2022-01-28 17:57:00,2022-01-28,284055,MAGNIT MM KABATCHIK,Супермаркеты,-189.99,2022-01
1133,2022-01-28 13:54:00,2022-01-28,272917,TK LENTA-91,Супермаркеты,-1501.0,2022-01
1134,2022-01-28 00:00:00,2022-01-29,289092,YANDEX.FUEL,Автомобиль,-2499.93,2022-01
1135,2022-01-27 15:57:00,2022-01-27,231781,APTECHNOE UCHREZHD-IE,Здоровье и красота,-953.0,2022-01
1136,2022-01-27 15:53:00,2022-01-27,283525,MAGNIT MM KABATCHIK,Супермаркеты,-1462.36,2022-01
1137,2022-01-27 15:24:00,2022-01-28,256640,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-01
