,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
166,2022-11-16 00:00:00,2022-11-17,281225,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
167,2022-11-15 20:40:00,2022-11-16,242801,IVI.RU 7,Отдых и развлечения,-129.0,2022-11
168,2022-11-15 18:43:00,2022-11-15,296717,MAGNIT MM KABATCHIK,Супермаркеты,-1110.75,2022-11
169,2022-11-15 18:34:00,2022-11-15,294961,MAGNIT MK NACHINENIE,Супермаркеты,-1925.98,2022-11
170,2022-11-15 18:25:00,2022-11-15,287917,APTECHNOE UCHREZHD-IE,Здоровье и красота,-508.0,2022-11
172,2022-11-15 13:12:00,2022-11-15,276277,YM YANDEX.PLUS,Неизвестная категория(-),-100.0,2022-11
173,2022-11-15 09:28:00,2022-11-15,202630,OOO AVTOGID,Автомобиль,-985.0,2022-11
174,2022-11-15 00:00:00,2022-11-16,293592,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
175,2022-11-14 19:29:00,2022-11-14,229359,MONETKA,Супермаркеты,-357.64,2022-11
176,2022-11-14 19:20:00,2022-11-15,277832,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-2910.0,2022-11
177,2022-11-14 14:48:00,2022-11-14,245516,IP CHEREPANOV A.S.,все для дома,-300.0,2022-11
178,2022-11-14 00:00:00,2022-11-15,249541,CHACHACHAY.ME,Супермаркеты,-30.0,2022-11
179,2022-11-14 00:00:00,2022-11-14,286031,Погашение процентов за покупки вне льготного периода,Прочие операции,-1197.94,2022-11
181,2022-11-12 19:14:00,2022-11-14,261662,AKVATEL,Супермаркеты,-600.0,2022-11
182,2022-11-12 17:46:00,2022-11-12,283642,MAGNIT MM KABATCHIK,Супермаркеты,-621.45,2022-11
183,2022-11-11 09:53:00,2022-11-11,297553,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-11
184,2022-11-10 17:57:00,2022-11-10,259954,MAGNIT MM KABATCHIK,Супермаркеты,-510.95,2022-11
185,2022-11-10 17:43:00,2022-11-10,238990,MAVT-VINOTEKA,Супермаркеты,-1405.0,2022-11
187,2022-11-10 13:33:00,2022-11-11,292703,YM OZON,Неизвестная категория(-),-574.0,2022-11
188,2022-11-10 12:33:00,2022-11-10,294429,CHIO CHIO,Здоровье и красота,-400.0,2022-11
189,2022-11-10 00:00:00,2022-11-10,267933,Погашение процентов за покупки вне льготного периода,Прочие операции,-5000.0,2022-11
190,2022-11-10 00:00:00,2022-11-11,248736,YM *Yandex.Fuel,Автомобиль,-1845.9,2022-11
191,2022-11-09 13:57:00,2022-11-09,202383,APTEKA  633,Здоровье и красота,-964.0,2022-11
192,2022-11-09 13:53:00,2022-11-09,273546,MAGNIT MM CHERVISHEVSKIJ,Супермаркеты,-199.95,2022-11
193,2022-11-08 22:07:00,2022-11-09,234645,SBERBANK ONL@IN PLATEZH,Прочие операции,-1989.7,2022-11
194,2022-11-08 00:00:00,2022-11-09,231713,VYUZHNAYA,Рестораны и кафе,-554.0,2022-11
195,2022-11-07 18:51:00,2022-11-07,210170,PYATEROCHKA 21288,Супермаркеты,-560.31,2022-11
196,2022-11-07 08:54:00,2022-11-07,270929,YANDEX.TAXI,Отдых и развлечения,-23.5,2022-11
197,2022-11-06 19:04:00,2022-11-07,214920,YANDEX.TAXI,Отдых и развлечения,-27.0,2022-11
198,2022-11-06 18:16:00,2022-11-07,264550,MAGNIT MM KABATCHIK,Супермаркеты,-1679.35,2022-11
199,2022-11-06 08:54:00,2022-11-07,232839,YANDEX.TAXI,Отдых и развлечения,-262.0,2022-11
201,2022-11-05 19:15:00,2022-11-05,211383,MAGNIT MM KABATCHIK,Супермаркеты,-1090.0,2022-11
202,2022-11-05 19:04:00,2022-11-07,246792,YANDEX.TAXI,Отдых и развлечения,-300.0,2022-11
203,2022-11-05 00:00:00,2022-11-07,276111,ADACT,Все для дома,-5400.0,2022-11
204,2022-11-04 18:25:00,2022-11-04,289695,SBERBANK ONL@IN PLATEZH,Прочие операции,-2301.83,2022-11
205,2022-11-04 18:21:00,2022-11-04,207912,SBERBANK ONL@IN PLATEZH,Прочие операции,-3262.33,2022-11
207,2022-11-04 00:00:00,2022-11-05,282645,CHACHACHAY.ME,Супермаркеты,-100.0,2022-11
208,2022-11-04 00:00:00,2022-11-05,213152,TRIC E-COMM,"Комунальные платежи, связь, интернет.",-7669.73,2022-11
209,2022-11-03 23:20:00,2022-11-04,295519,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-11
211,2022-11-03 00:00:00,2022-11-04,206832,Magazin dlya konditerov,Отдых и развлечения,-470.0,2022-11
212,2022-11-02 18:23:00,2022-11-02,226116,PYATEROCHKA 21288,Супермаркеты,-676.92,2022-11
213,2022-11-02 10:49:00,2022-11-02,208205,SBERBANK ONL@IN PLATEZH,Прочие операции,-700.0,2022-11
214,2022-11-02 08:17:00,2022-11-02,250732,SBERBANK ONL@IN PLATEZH,Прочие операции,-4316.74,2022-11
215,2022-11-02 08:16:00,2022-11-02,267914,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-11
217,2022-11-01 17:56:00,2022-11-01,204560,PYATEROCHKA 21288,Супермаркеты,-743.1,2022-11
218,2022-10-31 11:10:00,2022-10-31,299310,PYATEROCHKA 21288,Супермаркеты,-820.43,2022-10
219,2022-10-31 00:00:00,2022-11-01,275180,OOO DIVADA-M OOO D,Здоровье и красота,-493.0,2022-11
221,2022-10-30 17:20:00,2022-10-31,253709,MAGNIT MM KABATCHIK,Супермаркеты,-853.7,2022-10
222,2022-10-30 00:00:00,2022-10-31,218659,MANGAL I MYASO,Рестораны и кафе,-1847.0,2022-10
224,2022-10-29 14:20:00,2022-10-31,217375,YM OZON,Неизвестная категория(-),-322.0,2022-10
225,2022-10-28 18:44:00,2022-10-28,299916,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-399.61,2022-10
226,2022-10-27 22:34:00,2022-10-31,276637,AKVATEL,Супермаркеты,-600.0,2022-10
227,2022-10-27 20:43:00,2022-10-31,297498,SAMOKAT,Супермаркеты,-1652.0,2022-10
228,2022-10-27 08:53:00,2022-10-31,242582,SAMOKAT,Супермаркеты,-518.0,2022-10
229,2022-10-27 00:00:00,2022-10-28,242081,FLAGMAN,Супермаркеты,-416.0,2022-10
230,2022-10-27 00:00:00,2022-10-28,234953,YM *Yandex.Fuel,Автомобиль,-1928.38,2022-10
232,2022-10-26 18:45:00,2022-10-26,208213,MAGNIT MM KABATCHIK,Супермаркеты,-1249.51,2022-10
233,2022-10-26 00:00:00,2022-10-28,206892,ADACT,Все для дома,-3050.0,2022-10
234,2022-10-25 16:11:00,2022-10-26,297375,YM OZON,Неизвестная категория(-),-1944.0,2022-10
236,2022-10-25 00:00:00,2022-10-26,296157,IP STELYUK NATALIA V,Автомобиль,-1000.0,2022-10
237,2022-10-25 00:00:00,2022-10-26,272832,Yandex.Zapravki,Автомобиль,-2137.95,2022-10
238,2022-10-25 00:00:00,2022-10-26,215304,YANDEX*5815*PLUS,Неизвестная категория(-),-299.0,2022-10
239,2022-10-24 22:38:00,2022-10-25,295014,YM OZON,Неизвестная категория(-),-2787.0,2022-10
240,2022-10-23 21:00:00,2022-10-24,259535,SAMOKAT,Супермаркеты,-1281.0,2022-10
242,2022-10-23 06:38:00,2022-10-24,267854,SAMOKAT,Супермаркеты,-447.0,2022-10
243,2022-10-23 00:00:00,2022-10-24,289466,CHACHACHAY.ME,Супермаркеты,-200.0,2022-10
244,2022-10-23 00:00:00,2022-10-24,215958,CHACHACHAY.ME,Супермаркеты,-50.0,2022-10
245,2022-10-22 15:00:00,2022-10-24,290248,YM OZON,Неизвестная категория(-),-581.0,2022-10
246,2022-10-22 07:53:00,2022-10-22,274853,SAMOKAT,Супермаркеты,-418.0,2022-10
247,2022-10-22 00:00:00,2022-10-24,203492,CHACHACHAY.ME,Супермаркеты,-100.0,2022-10
248,2022-10-21 09:33:00,2022-10-21,258645,MAGNIT MM KABATCHIK,Супермаркеты,-171.97,2022-10
249,2022-10-20 18:55:00,2022-10-20,200514,MAGNIT MM KABATCHIK,Супермаркеты,-888.31,2022-10
250,2022-10-20 17:22:00,2022-10-20,292468,DETSKIY MIR,Отдых и развлечения,-57.0,2022-10
251,2022-10-20 16:21:00,2022-10-20,281472,GIPERMARKET RICH FEMILI,Отдых и развлечения,-1938.0,2022-10
252,2022-10-20 15:49:00,2022-10-20,251462,FIXPRICE 8114,Супермаркеты,-999.5,2022-10
254,2022-10-20 00:00:00,2022-10-21,269208,PAMPERSOK,Одежда и аксессуары,-2348.0,2022-10
255,2022-10-20 00:00:00,2022-10-21,269290,Tyumen' TRC Kristall,Все для дома,-1299.0,2022-10
256,2022-10-20 00:00:00,2022-10-21,259590,VOSTOCHNYJ BAZAR,Рестораны и кафе,-1273.0,2022-10
257,2022-10-19 19:59:00,2022-10-19,288095,PYATEROCHKA 21288,Супермаркеты,-1769.47,2022-10
258,2022-10-18 20:18:00,2022-10-19,230428,SAMOKAT,Супермаркеты,-1065.0,2022-10
259,2022-10-18 11:12:00,2022-10-19,201797,YM OZON 2,Неизвестная категория(-),-13052.01,2022-10
260,2022-10-18 09:09:00,2022-10-18,214656,MONETKA,Супермаркеты,-239.98,2022-10
262,2022-10-17 19:22:00,2022-10-18,278961,AKVATEL,Супермаркеты,-600.0,2022-10
263,2022-10-17 16:14:00,2022-10-17,214530,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-623.05,2022-10
264,2022-10-17 16:05:00,2022-10-17,271522,MAGNIT MM KABATCHIK,Супермаркеты,-501.05,2022-10
265,2022-10-17 14:44:00,2022-10-17,230740,PYATEROCHKA 6865,Супермаркеты,-149.99,2022-10
266,2022-10-15 21:32:00,2022-10-17,292005,IVI.RU 7,Отдых и развлечения,-129.0,2022-10
267,2022-10-15 21:28:00,2022-10-17,254200,YM OZON,Неизвестная категория(-),-2825.0,2022-10
268,2022-10-14 16:51:00,2022-10-15,248027,YM OZON,Неизвестная категория(-),-1133.0,2022-10
269,2022-10-14 11:29:00,2022-10-14,248861,MONETKA,Супермаркеты,-429.95,2022-10
270,2022-10-14 10:38:00,2022-10-14,222014,CHIO CHIO,Здоровье и красота,-400.0,2022-10
271,2022-10-13 22:43:00,2022-10-14,253639,IVI.RU 6,Отдых и развлечения,-129.0,2022-10
272,2022-10-13 17:45:00,2022-10-13,228192,SAMOKAT,Супермаркеты,-830.0,2022-10
276,2022-10-13 00:00:00,2022-10-14,223556,Filatovskaya klinika,Здоровье и красота,-2000.0,2022-10
277,2022-10-13 00:00:00,2022-10-14,257002,IP SKLYAROVA,Рестораны и кафе,-130.0,2022-10
278,2022-10-13 00:00:00,2022-10-14,236158,YM *Yandex.Fuel,Автомобиль,-1880.64,2022-10
279,2022-10-13 00:00:00,2022-10-14,248787,IP SKLYAROVA,Рестораны и кафе,-130.0,2022-10
280,2022-10-11 18:40:00,2022-10-11,294640,MAGNIT MM KABATCHIK,Супермаркеты,-1853.04,2022-10
281,2022-10-11 09:53:00,2022-10-11,200704,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-10
